level,Extreme,High,Moderate,Low
-1,1d6+1,1d4+1,1d4,1d4
0,1d6+3,1d6+2,1d4+2,1d4+1
1,1d8+4,1d6+3,1d6+2,1d4+2
2,1d12+4,1d10+4,1d8+4,1d6+3
3,1d12+8,1d10+6,1d8+6,1d6+5
4,2d10+7,2d8+5,2d6+5,2d4+4
5,2d12+7,2d8+7,2d6+6,2d4+6
6,2d12+10,2d8+9,2d6+8,2d4+7
7,2d12+12,2d10+9,2d8+8,2d6+6
8,2d12+15,2d10+11,2d8+9,2d6+8
9,2d12+17,2d10+13,2d8+11,2d6+9
10,2d12+20,2d12+13,2d10+11,2d6+10
11,2d12+22,2d12+15,2d10+12,2d8+10
12,3d12+19,3d10+14,3d8+12,3d6+10
13,3d12+21,3d10+16,3d8+14,3d6+11
14,3d12+24,3d10+18,3d8+15,3d6+13
15,3d12+26,3d12+17,3d10+14,3d6+14
16,3d12+29,3d12+18,3d10+15,3d6+15
17,3d12+31,3d12+19,3d10+16,3d6+16
18,3d12+34,3d12+20,3d10+17,3d6+17
19,4d12+29,4d10+20,4d8+17,4d6+14
20,4d12+32,4d10+22,4d8+19,4d6+15
21,4d12+34,4d10+24,4d8+20,4d6+17
22,4d12+37,4d10+26,4d8+22,4d6+18
23,4d12+39,4d12+24,4d10+20,4d6+19
24,4d12+42,4d12+26,4d10+22,4d6+21
