Issue Key,Test Summary,ExecutionStatus
PEEKUAT-105,Incident dispatch to field device - logged in,PASS
PEEKUAT-115,Incidents - Resource accepts incident,PASS
PEEKUAT-131,Working on an incident and a switching job simultaneously,PASS
PEEKUAT-134,Fault report,PASS
PEEKUAT-180,Open diagrams from incident,PASS
PEEKUAT-181,Access to diagrams from a switching job,PASS
PEEKUAT-182,Field Switching - Return to a job from the diagram,PASS
PEEKUAT-183,Multiple field devices - job dispatch,PASS
PEEKUAT-184,Multiple field devices operate independently,PASS
PEEKUAT-187,Multiple field devices - step reassignment,PASS
PEEKUAT-191,Peek Field - Comms handshaking 4G Only,PASS
PEEKUAT-195,Handling of intermittent comms,PASS
PEEKUAT-218,Peek Field - Home Screen displayed correctly,PASS
PEEKUAT-219,NSAT14 - 50 - Field device log on  See test 70 for suggested mods.,PASS
PEEKUAT-220,Peek Field App - Log On Screen layout displays correctly,PASS
PEEKUAT-221,Field Platform - ADMS Displays Correct Comms Status for user,PASS
PEEKUAT-222,NSAT14 - 80 - Peek Field Log on to multiple devices prevented,PASS
PEEKUAT-223,Peek Field User - Force Log Off,PASS
PEEKUAT-226,Peek Field WPM job dispatch required,PASS
PEEKUAT-227,Peek Field WPM job dispatch notification,PASS
PEEKUAT-228,Peek Field Switching - SMS received when work package dispatched,PASS
PEEKUAT-230,Population of Job Header Fields,FAIL
PEEKUAT-232,Peek Field Switching Issue Scheduled Work to Field Device,PASS
PEEKUAT-233,Field Switching - Dispatch Job when User not logged in,PASS
PEEKUAT-234,Field Switching - Job List,PASS
PEEKUAT-235,Field Switching - View job operations,PASS
PEEKUAT-236,Peek Field Presentation of Switching Items,PASS
PEEKUAT-237,Peek Field View Operation Details,PASS
PEEKUAT-238,Peek Field device reflects WPM changes,PASS
PEEKUAT-240,Peek Field Unsent job alarm,PASS
PEEKUAT-241,Peek Field Timeout alarm - header update,PASS
PEEKUAT-242,Timeout Alarm - Operation Insert,PASS
PEEKUAT-243,Field Switching - Update Operation Comms Timeout,PASS
PEEKUAT-244,Timeout Alarm - operation abort,PASS
PEEKUAT-245,Field Switching - Update Job Operations in Flight Mode,PASS
PEEKUAT-246,Cut and paste item update,PASS
PEEKUAT-247,Field device reflects changes to long note fields,PASS
PEEKUAT-249,Activity information,PASS
PEEKUAT-250,Status notification and alarm - accept job,PASS
PEEKUAT-251,Working on one job at a time,PASS
PEEKUAT-252,Working on a switching job and an incident simultaneously,PASS
PEEKUAT-253,Other status notifications to WPM,PASS
PEEKUAT-254,Stop a job without comms,PASS
PEEKUAT-255,Field Switching - Restart a job without comms,PASS
PEEKUAT-256,Starting a new job without comms,PASS
PEEKUAT-257,Field Switching - Reject a dispatched job,PASS
PEEKUAT-258,Rejecting a job without comms,PASS
PEEKUAT-259,Revoked schedule,PASS
PEEKUAT-260,Issue unplanned WP to mobile device,PASS
PEEKUAT-261,Job sequence,PASS
PEEKUAT-262,Population of header fields - unplanned Job,FAIL
PEEKUAT-263,Execution of telecontrol items prevented,PASS
PEEKUAT-264,Field device alerts and notifications,PASS
PEEKUAT-265,Field Switching - Unacknowledged message count,PASS
PEEKUAT-266,Job take back,PASS
PEEKUAT-267,Forced take back,PASS
PEEKUAT-268,Redispatch a taken back job,PASS
PEEKUAT-269,Take back active job,PASS
PEEKUAT-270,Field Switching - Incoming message alert,PASS
PEEKUAT-271,Cancelled work package,PASS
PEEKUAT-272,Completed work package,FAIL
PEEKUAT-274,Hand back switching job,PASS
PEEKUAT-275,Hand back prevented: active job,PASS
PEEKUAT-276,Hand back allowed: safety document,PASS
PEEKUAT-281,Instruct switching operation,PASS
PEEKUAT-282,Field Switching - Field Operation Confirmation,PASS
PEEKUAT-283,Job must be active for switching,PASS
PEEKUAT-284,Work package changes of state,PASS
PEEKUAT-285,Job update,PASS
PEEKUAT-287,Abort switching and view abortion reason,PASS
PEEKUAT-288,Abort switching on the field device,PASS
PEEKUAT-289,Permit representation,PASS
PEEKUAT-290,Field Switching - Permit information,PASS
PEEKUAT-292,Multiple field devices - job step management,PASS
PEEKUAT-293,Multiple field devices - simultaneous operation,PASS
PEEKUAT-294,Job step order,PASS
PEEKUAT-301,SOS fail to deliver,PASS
PEEKUAT-312,Peek Device - Speed of interaction with field device,PASS
PEEKUAT-313,Dispatch of large job,PASS
PEEKUAT-336,Peek User Loader - New User is Loaded when created in ADMS,PASS
PEEKUAT-356,Add in new Hand-back Job reason,PASS
PEEKUAT-359,Peek Field Mobile - Device warns when offline,PASS
PEEKUAT-375,Peek Plugin Diagram - Share branch and objects via copy/paste URL,PASS
PEEKUAT-379,Job Dispatch Notifications,PASS
PEEKUAT-380,Updated Job Header Notifications,PASS
PEEKUAT-381,Dispatched Job State Edit Notifications,PASS
PEEKUAT-412,Peek Field Mobile - Queued Actions Sent When Returning To Service,PASS
PEEKUAT-415,Notification Count Decreases When Notification Is Opened,PASS
PEEKUAT-418,Check Console Log Regarding Job Operation List,PASS
PEEKUAT-419,Notification Count When Returning To Service,PASS
PEEKUAT-420,Update An Incident,PASS
PEEKUAT-421,Move Job Banner On Network Diagram,PASS
PEEKUAT-426,Peek Diagram Plugin - Toggle Light Mode,FAIL
PEEKUAT-426,Peek Diagram Plugin - Toggle Light Mode,FAIL
PEEKUAT-430,Peek DMS Diagram - Tooltips do not stick while zooming Peek Field,PASS
PEEKUAT-444,Peek Core Device - Offline Caching time metrics,PASS
PEEKUAT-451,Peek DMS Diagram - Shape Selectablity,PASS
PEEKUAT-452,Peek DMS Diagram - Offline Cache Conductor Classes,PASS
PEEKUAT-455,Peek DMS Diagram - AD Group Allowed World view access,PASS
PEEKUAT-456,Peek DMS Diagram - AD Group access conflict,PASS
